crop,parameter,average_value
grapes,N,29.83
grapes,P,131.36
grapes,K,225.1
grapes,temperature,14.78
grapes,humidity,84.79
grapes,ph,6.17
grapes,rainfall,87.53
maize,N,99.76
maize,P,60.03
maize,K,60.43
maize,temperature,21.99
maize,humidity,65.0
maize,ph,6.89
maize,rainfall,74.7
apple,N,25.05
apple,P,130.83
apple,K,224.96
apple,temperature,14.94
apple,humidity,85.61
apple,ph,6.26
apple,rainfall,86.93
cotton,N,141.31
cotton,P,50.01
cotton,K,49.88
cotton,temperature,25.03
cotton,humidity,65.3
cotton,ph,6.88
cotton,rainfall,74.33
watermelon,N,110.99
watermelon,P,100.31
watermelon,K,44.72
watermelon,temperature,25.17
watermelon,humidity,84.48
watermelon,ph,6.5
watermelon,rainfall,45.3
chickpea,N,55.09
chickpea,P,69.6
chickpea,K,100.29
chickpea,temperature,21.86
chickpea,humidity,25.05
chickpea,ph,6.76
chickpea,rainfall,65.16
rice,N,99.64
rice,P,50.35
rice,K,49.75
rice,temperature,27.19
rice,humidity,85.32
rice,ph,6.18
rice,rainfall,226.81
banana,N,110.24
banana,P,79.58
banana,K,54.85
banana,temperature,27.88
banana,humidity,79.95
banana,ph,6.2
banana,rainfall,140.28
kidneybeans,N,30.1
kidneybeans,P,69.64
kidneybeans,K,59.94
kidneybeans,temperature,20.0
kidneybeans,humidity,41.28
kidneybeans,ph,6.16
kidneybeans,rainfall,90.89
