crop,parameter,optimal_value,actual_average,difference
rice,N,100,99.64,-0.36
rice,P,50,50.35,0.35
rice,K,50,49.75,-0.25
rice,temp,27,27.19,0.19
rice,humidity,85,85.32,0.32
rice,ph,6.2,6.18,-0.02
rice,rainfall,225,226.81,1.81
maize,N,100,99.76,-0.24
maize,P,60,60.03,0.03
maize,K,60,60.43,0.43
maize,temp,22,21.99,-0.01
maize,humidity,65,65.0,0.0
maize,ph,6.9,6.89,-0.01
maize,rainfall,75,74.7,-0.3
chickpea,N,55,55.09,0.09
chickpea,P,70,69.6,-0.4
chickpea,K,100,100.29,0.29
chickpea,temp,22,21.86,-0.14
chickpea,humidity,25,25.05,0.05
chickpea,ph,6.8,6.76,-0.04
chickpea,rainfall,65,65.16,0.16
kidneybeans,N,30,30.1,0.1
kidneybeans,P,70,69.64,-0.36
kidneybeans,K,60,59.94,-0.06
kidneybeans,temp,20,20.0,-0.0
kidneybeans,humidity,41,41.28,0.28
kidneybeans,ph,6.2,6.16,-0.04
kidneybeans,rainfall,90,90.89,0.89
cotton,N,140,141.31,1.31
cotton,P,50,50.01,0.01
cotton,K,50,49.88,-0.12
cotton,temp,25,25.03,0.03
cotton,humidity,65,65.3,0.3
cotton,ph,6.9,6.88,-0.02
cotton,rainfall,75,74.33,-0.67
banana,N,110,110.24,0.24
banana,P,80,79.58,-0.42
banana,K,55,54.85,-0.15
banana,temp,28,27.88,-0.12
banana,humidity,80,79.95,-0.05
banana,ph,6.2,6.2,-0.0
banana,rainfall,140,140.28,0.28
watermelon,N,110,110.99,0.99
watermelon,P,100,100.31,0.31
watermelon,K,45,44.72,-0.28
watermelon,temp,25,25.17,0.17
watermelon,humidity,85,84.48,-0.52
watermelon,ph,6.5,6.5,0.0
watermelon,rainfall,45,45.3,0.3
grapes,N,30,29.83,-0.17
grapes,P,130,131.36,1.36
grapes,K,225,225.1,0.1
grapes,temp,15,14.78,-0.22
grapes,humidity,85,84.79,-0.21
grapes,ph,6.2,6.17,-0.03
grapes,rainfall,87,87.53,0.53
apple,N,25,25.05,0.05
apple,P,130,130.83,0.83
apple,K,225,224.96,-0.04
apple,temp,15,14.94,-0.06
apple,humidity,85,85.61,0.61
apple,ph,6.2,6.26,0.06
apple,rainfall,87,86.93,-0.07
